Algorithm,Operation,Iterations,Total time (s),Time (us): mean,pop. stdev,High-prec time (ns): mean,pop. stdev.1
Classic-McEliece-460896f,encaps,2683.3333333333335,3.000466666666666,1118.2268666666669,71.747,1118066.0666666667,71749.26666666666
Classic-McEliece-460896f,decaps,2444.2,3.0007999999999995,1227.7233333333336,16.518266666666666,1227607.4666666666,16507.2
Classic-McEliece-6688128,keygen,1.2,4.1775,3631659.7666666666,59276.0,3631659093.3333335,59276066.13333333
Classic-McEliece-6688128,encaps,1370.6666666666667,3.0012333333333325,2189.6036999999997,107.04909999999998,2189309.6333333333,107024.03333333334
Classic-McEliece-6688128,decaps,2186.4666666666667,3.000733333333334,1372.4305999999997,13.47776666666667,1372304.1333333333,13462.333333333334
Classic-McEliece-6688128f,keygen,1.0,3.7303333333333337,3730180.8,0.0,3730180317.866667,0.0
Classic-McEliece-6688128f,encaps,1371.2,3.001133333333334,2188.7025333333336,106.02040000000001,2188416.4,105994.46666666666
Classic-McEliece-6688128f,decaps,2187.3333333333335,3.0007333333333333,1371.8769333333335,12.522333333333334,1371756.6666666667,12505.533333333333
Classic-McEliece-6960119,keygen,1.3333333333333333,4.031266666666667,3123494.05,110178.51666666666,3123493546.6666665,110178525.86666666
Classic-McEliece-6960119,encaps,1384.0666666666666,3.001066666666667,2168.3405333333335,83.20523333333335,2168007.7,83172.76666666666
Classic-McEliece-6960119,decaps,2277.9,3.000733333333334,1317.3358666666668,7.001966666666667,1317213.1333333333,6988.733333333334
Classic-McEliece-6960119f,keygen,1.0,3.3436666666666666,3343711.8666666667,0.0,3343711385.6,0.0
Classic-McEliece-6960119f,encaps,1384.8666666666666,3.0008666666666666,2166.9586666666664,83.25380000000001,2166587.533333333,83222.33333333333
Classic-McEliece-6960119f,decaps,2278.266666666667,3.0007333333333333,1317.1344666666666,7.550533333333334,1317008.8,7538.0
Classic-McEliece-8192128,keygen,1.0333333333333334,4.833033333333334,4719953.716666667,13076.65,4719953335.466666,13076637.866666667
Classic-McEliece-8192128,encaps,1084.2,3.0011666666666676,2768.0815,80.6975,2767626.933333333,80648.1
Classic-McEliece-8192128,decaps,2201.9333333333334,3.0005000000000006,1362.6973333333333,10.023633333333331,1362574.5333333334,10009.333333333334
Classic-McEliece-8192128f,keygen,1.0,4.573333333333333,4573268.533333333,0.0,4573268241.066667,0.0
Classic-McEliece-8192128f,encaps,1084.4666666666667,3.0010666666666665,2767.3058666666666,80.53073333333334,2766838.533333333,80479.86666666667
Classic-McEliece-8192128f,decaps,2201.5333333333333,3.0007333333333333,1363.0067333333332,10.500866666666667,1362879.8,10490.333333333334
HQC-128,keygen,5686.4,3.000266666666667,527.6328666666667,11.552333333333333,527524.6,11540.666666666666
HQC-128,encaps,3583.733333333333,3.000533333333333,837.2599333333334,16.826533333333334,837124.6,16822.066666666666
HQC-128,decaps,2492.0,3.0006666666666666,1204.3232666666668,5.402000000000001,1204175.6666666667,5382.266666666666
HQC-192,keygen,2582.733333333333,3.0006666666666666,1161.8158,21.34,1161704.1333333333,21332.133333333335
HQC-192,encaps,1494.1333333333334,3.001333333333333,2008.6512000000002,30.42786666666666,2008509.8,30422.4
HQC-192,decaps,1066.7333333333333,3.001466666666666,2814.258733333333,8.380933333333333,2814115.1333333333,8375.133333333333
HQC-256,keygen,1465.6666666666667,3.0007999999999995,2047.3755333333331,22.962000000000003,2047264.0666666667,22958.533333333333
HQC-256,encaps,821.7333333333333,3.0016666666666665,3652.958533333334,33.49726666666667,3652820.4,33497.4
HQC-256,decaps,575.9333333333333,3.002866666666667,5214.443066666666,7.5852666666666675,5214313.333333333,7571.266666666666
Kyber512,keygen,27036.966666666667,3.0,119.52716666666664,2.5201,119421.4,2489.366666666667
Kyber512,encaps,27860.8,3.0,120.93426666666666,2.7763,120821.66666666667,2733.266666666667
Kyber512,decaps,36708.9,3.0,109.13396666666668,2.4200666666666675,109012.03333333334,2377.4666666666667
Kyber768,keygen,19548.566666666666,3.0,173.2075333333333,4.714066666666666,173090.13333333333,4690.833333333333
Kyber768,encaps,19066.933333333334,3.0,182.36696666666663,6.2651666666666666,182246.53333333333,6234.133333333333
Kyber768,decaps,23077.1,3.0,173.72840000000002,5.460166666666667,173603.53333333333,5428.066666666667
Kyber1024,keygen,14120.233333333334,3.0,247.9993333333333,4.343266666666667,247892.76666666666,4322.966666666666
Kyber1024,encaps,13484.3,3.0,264.63376666666665,5.808200000000001,264523.43333333335,5779.533333333334
Kyber1024,decaps,15335.3,3.0,260.01689999999996,4.9852333333333325,259906.5,4953.666666666667
Kyber512-90s,keygen,19799.066666666666,3.0,151.52546666666666,2.3724666666666665,151419.73333333334,2338.5333333333333
Kyber512-90s,encaps,18637.533333333333,3.0,160.9693333333333,2.2670000000000003,160854.73333333334,2223.2
Kyber512-90s,decaps,18312.8,3.0,163.8250666666667,2.199266666666667,163706.93333333332,2155.2
Kyber768-90s,keygen,12949.4,3.0,231.6803333333333,2.8084666666666664,231574.33333333334,2780.5333333333333
Kyber768-90s,encaps,12004.866666666667,3.0,249.91253333333336,2.7019333333333333,249803.8,2665.4666666666667
Kyber768-90s,decaps,11500.266666666666,3.0,260.88,2.69,260772.4,2652.6666666666665
Kyber1024-90s,keygen,8775.733333333334,3.0,341.8703999999999,3.3573333333333335,341762.86666666664,3335.3333333333335
Kyber1024-90s,encaps,8103.6,3.0,370.23046666666664,3.140933333333334,370121.4,3106.133333333333
Kyber1024-90s,decaps,7704.933333333333,3.0,389.39166666666665,3.2062666666666666,389282.4666666667,3169.9333333333334
sntrup761,keygen,196.0,3.0,15307.131466666668,9.040266666666668,15307029.266666668,9045.6
sntrup761,encaps,5643.8,3.0000666666666667,531.5961333333333,3.451866666666667,531482.6666666666,3414.6
sntrup761,decaps,3009.266666666667,3.0004,997.0801333333334,4.614733333333333,996961.9333333333,4586.733333333334
FrodoKEM-640-AES,keygen,148.0,3.0070666666666663,20317.988733333335,11.463466666666667,20317852.066666666,11460.8
FrodoKEM-640-AES,encaps,146.0,3.0168000000000004,20663.332000000002,9.201400000000001,20663186.933333334,9187.133333333333
FrodoKEM-640-AES,decaps,146.0,3.005000000000001,20583.08946666667,8.983,20582972.266666666,8985.666666666666
FrodoKEM-640-SHAKE,keygen,437.2,3.0015999999999994,6865.415866666666,8.056266666666666,6865265.4,8048.666666666667
FrodoKEM-640-SHAKE,encaps,390.0,3.0036000000000005,7701.915933333334,7.364800000000001,7701770.8,7348.333333333333
FrodoKEM-640-SHAKE,decaps,393.0,3.0056,7647.590533333334,7.012533333333334,7647438.333333333,7011.666666666667
FrodoKEM-976-AES,keygen,65.0,3.045733333333333,46854.291333333334,17.60346666666667,46854137.8,17583.733333333334
FrodoKEM-976-AES,encaps,63.0,3.0010666666666665,47639.2434,13.771600000000001,47639107.666666664,13753.6
FrodoKEM-976-AES,decaps,63.0,3.015999999999999,47870.92073333333,12.258533333333334,47870778.53333333,12257.333333333334
FrodoKEM-976-SHAKE,keygen,196.8,3.0106666666666664,15298.1906,10.656266666666665,15298038.866666667,10642.8
FrodoKEM-976-SHAKE,encaps,177.0,3.0126,17019.414333333334,10.902133333333332,17019275.133333333,10890.466666666667
FrodoKEM-976-SHAKE,decaps,178.0,3.014533333333334,16936.1328,10.676,16935981.466666665,10649.733333333334
FrodoKEM-1344-AES,keygen,34.0,3.0074,88451.98813333335,16.213,88451820.86666666,16204.066666666668
FrodoKEM-1344-AES,encaps,34.0,3.077266666666666,90504.98240000001,26.871066666666668,90504852.6,26856.666666666668
FrodoKEM-1344-AES,decaps,34.0,3.054933333333333,89851.4392,21.539800000000003,89851311.66666667,21515.866666666665
FrodoKEM-1344-SHAKE,keygen,108.46666666666667,3.0134,27782.579866666663,124.29573333333335,27782405.2,124255.53333333334
FrodoKEM-1344-SHAKE,encaps,95.46666666666667,3.0177333333333327,31611.2008,123.81920000000004,31611030.266666666,123766.93333333333
FrodoKEM-1344-SHAKE,decaps,98.0,3.0225999999999997,30843.5258,141.92746666666665,30843380.533333335,141866.46666666667
